ÐòºÅ,gender,age,educationalbacground,judge,IS1,IS2,SM1(WEIBO),SM2(REDBOOK),SM3(TIKTOK),SM4(KAUISHOU),SM5(WECHAT),Print Media,Mass Media,Personal Network,LLM,IL1,TIL1,IL2,TIL2,IL3,TIL3,IA1,TIA1,IA2,TIA2,IA3,TIA3,ID1,TID1,ID2,TID2,ID3,TID3
170,2,2,4,1,4,5,4,4,4,3,5,3,3,5,4,4,4,4,2,5,5,2,4,4,4,5,3,5,4,5,4,4,4
171,2,5,3,1,2,4,4,6,4,4,5,2,2,4,6,5,4,5,5,4,4,5,3,4,5,3,4,5,4,5,2,3,4
172,2,1,1,1,2,1,1,5,3,3,3,3,5,5,3,4,3,5,5,4,4,4,4,5,4,5,3,4,4,5,4,3,3
173,2,3,1,1,2,5,5,6,5,6,4,1,5,6,3,5,4,5,5,4,4,5,5,4,3,5,3,3,5,4,5,4,5
174,1,6,4,1,3,4,1,6,5,1,4,6,4,4,1,4,3,5,5,5,5,4,4,5,3,5,4,4,5,5,4,5,5
175,2,6,1,1,4,5,5,4,6,5,4,2,2,4,6,5,4,2,5,5,2,5,5,4,4,4,4,5,4,5,3,4,5
176,1,2,2,1,4,4,5,4,6,4,5,1,2,4,6,4,4,5,5,3,4,5,5,4,5,5,5,4,4,4,4,4,4
177,1,6,2,1,4,4,6,3,6,4,5,1,2,3,6,2,4,5,5,2,5,4,4,4,4,5,5,5,4,4,3,5,3
178,2,2,2,1,3,5,4,4,6,4,3,3,5,4,6,5,4,5,4,4,5,5,5,4,5,4,4,4,2,3,5,5,3
179,2,3,2,1,3,3,5,6,6,1,4,3,6,4,4,4,5,4,4,5,5,4,4,4,5,4,5,4,3,3,5,5,5
180,1,2,4,1,2,1,3,1,5,5,6,3,2,5,2,3,5,5,4,4,3,4,5,5,5,5,4,4,4,4,3,5,5
181,1,3,3,1,3,5,1,5,1,6,6,6,6,4,2,5,5,5,5,4,5,5,4,3,4,5,4,4,5,4,4,5,4
182,2,2,3,1,4,5,5,4,5,3,4,2,1,5,5,4,4,4,4,5,4,3,2,4,4,4,5,4,4,4,4,5,3
183,1,2,4,1,4,4,5,4,6,4,5,2,4,5,4,4,4,5,5,5,4,4,5,4,4,4,4,4,5,5,4,3,4
184,2,2,2,1,3,4,5,6,5,5,4,2,2,5,5,4,3,5,4,4,2,5,5,3,4,5,4,4,2,5,4,4,4
185,1,4,2,1,3,5,4,5,6,4,2,2,2,5,5,5,4,4,5,4,4,4,5,4,4,3,4,4,4,5,4,5,5
186,1,3,1,1,5,5,6,4,6,3,5,3,2,6,6,3,4,5,5,4,4,5,4,5,5,4,4,5,3,4,5,5,4
187,2,3,4,1,5,3,6,3,1,6,5,3,2,4,3,5,4,5,4,5,3,5,5,5,4,4,5,3,4,3,5,5,4
188,1,3,3,1,4,5,5,2,6,6,4,2,4,5,5,3,3,4,4,5,3,5,5,4,4,5,4,5,5,4,4,2,3
189,1,1,4,1,5,5,2,5,4,4,6,3,2,6,5,5,4,5,2,4,4,2,4,4,3,3,4,3,4,4,5,5,4
190,1,5,3,1,4,3,4,3,5,4,5,3,5,5,2,4,4,5,5,3,5,4,5,4,4,4,5,3,5,5,5,4,3
191,2,6,4,1,3,3,5,4,4,5,4,3,5,6,2,5,4,4,5,3,4,4,4,5,3,5,4,4,5,5,4,3,4
192,1,2,3,1,4,1,6,3,6,2,2,6,6,5,1,3,5,5,4,3,4,3,4,4,5,4,3,4,5,5,4,5,5
193,1,2,3,1,4,4,5,6,5,5,4,4,4,5,6,5,4,5,4,5,5,3,5,3,4,5,4,4,5,3,4,4,5
194,2,3,4,1,4,5,5,4,4,5,6,4,2,4,5,5,5,5,5,5,4,4,4,5,4,4,3,5,3,3,3,4,4
